100,45.00,326
100,56.25,1096
100,67.50,1831
100,78.75,1857
100,90.00,1858
100,101.25,1834
100,112.50,1810
100,123.75,1823
100,135.00,1819
100,146.25,1770
100,157.50,1646
100,168.75,1755
100,180.00,1855
100,191.25,1858
100,202.50,1855
100,213.75,1855
100,225.00,1853
100,236.25,1811
100,247.50,541
100,258.75,410
100,270.00,372
100,281.25,379
100,292.50,385
100,303.75,386
100,315.00,382
100,326.25,421
100,337.50,486
100,348.75,1374
100,0.00,1591
200,11.25,439
200,22.50,387
200,33.75,322
200,45.00,323
200,56.25,333
200,60.46,339
200,49.21,337
200,37.96,340
200,26.71,339
200,15.46,326
200,4.21,318
200,352.96,318
200,341.71,320
200,330.46,319
200,319.21,318
200,307.96,318
0,287.75,330
0,276.50,331
0,265.25,326
0,254.00,322
0,242.75,319
0,231.50,312
0,220.25,310
0,209.00,315
0,200.56,314
0,211.81,315
0,223.06,316
0,234.31,313
0,245.56,315
0,256.81,324
0,268.06,326
0,279.31,327
0,290.56,325
0,301.81,324
0,313.06,322
0,324.31,317
0,335.56,322
0,346.81,321
0,358.06,322
0,9.31,327
0,20.56,331
0,31.81,334
0,43.06,333
0,54.31,337
0,65.56,335
0,82.96,364
0,94.21,381
0,105.46,382
0,116.71,373
0,121.99,355
0,110.74,361
0,99.49,377
0,88.24,393
0,76.99,386
0,65.74,384
0,54.49,383
0,43.24,368
