100,56.25,1575
100,67.50,1588
100,78.75,1588
100,90.00,1590
100,101.25,1580
100,112.50,1587
100,123.75,1559
100,135.00,1610
100,146.25,1626
100,157.50,1691
100,168.75,1628
100,180.00,1750
100,191.25,1836
100,202.50,1876
100,213.75,1800
100,225.00,537
100,236.25,427
100,247.50,353
100,258.75,1372
100,270.00,1876
100,281.25,1889
100,292.50,1887
100,303.75,1888
100,315.00,1891
100,326.25,1888
100,337.50,1893
100,348.75,1889
100,0.00,1890
200,11.25,179
200,22.50,253
200,33.75,468
200,45.00,1723
200,56.25,1762
200,67.50,1814
200,78.75,1887
200,90.00,1889
200,101.25,1891
200,112.50,1896
200,123.75,1893
200,135.00,1893
200,146.25,1883
200,157.50,1853
200,168.75,1760
200,180.00,1814
200,191.25,1836
200,202.50,1864
200,213.75,1878
200,225.00,1885
200,236.25,1890
200,247.50,1893
200,258.75,1894
200,270.00,1893
200,281.25,1893
200,292.50,1893
200,303.75,1895
200,315.00,1891
200,326.25,1894
200,337.50,1894
200,348.75,1893
200,0.00,1892
